Company,SalesRep,TEZRevenue,URL
Liberty Parking Partners LLC,Andrew Sherstad,$0.00 ,
Liberty Parking Services,Andrew Sherstad,,
Little Man Parking LLC,Andrew Sherstad,"$4,485.77 ",
LoftinLuskey,Christen Woods,$0.00 ,
Loma Linda University Medical Center,Kevin Cobb,$0.00 ,
Lone Star Valet,Shane Daugherty,"$38,883.52 ",
Lone Star Valet,Christen Woods,$259.18 ,
Lone Star Valet,Luis Salazar,$0.00 ,
Loyca - Icon Las Olas Association,Luis Salazar,$0.00 ,
Luxe Parking Management,Luis Salazar,$0.00 ,
Luxury Parking System,Kevin Cobb,"$60,724.66 ",
M&M Parking Downtown Valet,Luis Salazar,$140.54 ,
M&M Parking Management LLC,Luis Salazar,$973.96 ,
Mackinac Island Ferry Company,Andrew Sherstad,$0.00 ,
Magnolia Bike Rentals & Parking LLC,Troy Wilkinson,"$1,187.55 ",
Magnolia Street Hospitality LLC,Luis Salazar,$0.00 ,
Mansfield Valet Inc - Boston Valet,Andrew Sherstad,$0.00 ,
Marriott - Salt Lake City,Kevin Cobb,,
Marriott International,Troy Wilkinson,,
Martin Selig Real Estate Inc,Kevin Cobb,"$30,399.95 ",
McLaurin Parking and Transportation,John Matiz,"$145,083.54 ",
Megaoutput,Andrew Sherstad,$0.00 ,
Melrose Storage Facility LLC,Troy Wilkinson,"$2,904.17 ",
MEM Valet,John Matiz,$0.00 ,
Metro Parking LLC,Shane Daugherty,"$8,261.69 ",
Metro Valet Parking,Kosta Alexopoulos,"$21,039.72 ",
Metropark One Inc,Luis Salazar,$0.00 ,
Metropolitan Healthcare Services,Andrew Sherstad,"$172,493.68 ",
Miami Design District Associates,Luis Salazar,"$227,815.58 ",
Miami Parking,John Matiz,"$19,700.56 ",
Michael Valet Parking LLC,Troy Wilkinson,,
Million Air,Troy Wilkinson,$0.00 ,
Mitsui Fudosan America,Kevin Cobb,$9.00 ,
Miyayo Parking LLC,Luis Salazar,$0.00 ,
MM Group Ala Wai PJ LLC,Kevin Cobb,$0.00 ,
Modern Day Valet Parking LLC,Shane Daugherty,"$4,159.48 ",
Mr Valet of Texas,Shane Daugherty,$0.00 ,
Mt Zion Baptist Church,Troy Wilkinson,$180.31 ,
Muse Condominium Association Inc,Luis Salazar,$0.00 ,
Napali Capital,Shane Daugherty,$0.00 ,
National Parking (GA),John Matiz,"$80,944.82 ",
National Parking (GA),Kosta Alexopoulos,$0.00 ,
Nationwide Parking and Valet,Troy Wilkinson,$0.00 ,
Nationwide Parking and Valet,Geremy Rodamer,,
Nationwide Parking Services,Shane Daugherty,"$10,751.20 ",
Nevada Premier Valet,Kevin Cobb,"$2,979.70 ",
Nevada Premier Valet,Mark Berglund,$0.00 ,
New Brunswick Parking Authority,Andrew Sherstad,"$27,208.52 ",
NEW CITY MEDICAL PLAZA,Kevin Cobb,$0.00 ,
New Haven Parking Authority,Troy Wilkinson,$0.00 ,
Next Level Valet and Parking,Shane Daugherty,$523.13 ,
Noble Parking Partners LLC,John Matiz,"$1,293.45 ",
Nobu Hotel Palo Alto,Mark Berglund,"$13,537.00 ",
North American Properties,John Matiz,"$155,476.80 ",
Novel River Oaks,Shane Daugherty,,
Oasis Marinas,Andrew Sherstad,$0.00 ,
Ocean Horizon Properties LC,Troy Wilkinson,$0.00 ,
Oceanfront South LLC,Andrew Sherstad,$0.00 ,
Okeydokey Halls,Luis Salazar,"$4,625.42 ",
Olive Boutique Hotel,Luis Salazar,,
Omega Parking Services,Connor Gray,$0.00 ,
Omni La Costa,Mark Berglund,$673.35 ,
One Fifty One At Biscayne Condominium Association Inc,Luis Salazar,"$22,865.73 ",
One Paraiso Condominium Inc,Luis Salazar,$0.48 ,
One Parking,Connor Gray,"$4,330.85 ",
One Parking,Andrew Sherstad,$1.00 ,
One River Landing,John Matiz,,
One SP LLC,Luis Salazar,,
"One Way Valet, Inc",Luis Salazar,,
One-GSA Parking Services,Luis Salazar,$0.00 ,
Opticliff Law,Troy Wilkinson,$10.16 ,
Otis Property Owner LLC,Kevin Cobb,$181.92 ,
OZJ Parking LLC,Troy Wilkinson,$23.53 ,
P&P Parking Solutions LLC,John Matiz,,
P2 of SC LLC,John Matiz,$0.00 ,
Pace Properties 1242 LLC,Andrew Sherstad,$0.00 ,
Pacific Parking,Kevin Cobb,"$11,117.63 ",
Page Avenue Hospitality,John Matiz,$0.00 ,
Pamperin Parking LLC,Troy Wilkinson,$311.41 ,
Paragon Valet Inc,Andrew Sherstad,$298.50 ,
Parallel Parking,Luis Salazar,$185.50 ,
Paramount Bay Condo Owners Association Inc,Luis Salazar,$0.00 ,
Paramount Fort Lauderdale Management,Luis Salazar,$504.12 ,
PARE DE OCCIDENTE,Ken Lovegreen,,
Parison Inc,Shane Daugherty,$0.00 ,
Park Avenue of Miami Inc,Luis Salazar,"$76,045.74 ",
Park City Municipal Corporation,Mason Loos,"$11,148.13 ",
Park Grove Master Association Inc,Luis Salazar,"$5,766.38 ",
Park INC,Andrew Sherstad,$0.00 ,
Park Lake Park,John Matiz,$0.00 ,
Park One of Florida,Luis Salazar,"$58,613.50 ",
Park Perks,Connor Gray,$0.00 ,
Park Place Parking Inc,Troy Wilkinson,"$17,949.98 ",
"Park Place Valet, LLC",Shane Daugherty,,
Park Plus Parking,Andrew Sherstad,$0.00 ,
Park Rite,Troy Wilkinson,"$83,732.93 ",
ParkInc LLC (FL),Luis Salazar,$0.00 ,
Parking Concepts Inc,Mark Berglund,"$469,136.81 ",
Parking Concepts Inc (South),Mark Berglund,$220.50 ,
Parking Consultants of America,John Matiz,,
Parking Management Company LLC,Connor Gray,"$1,997.19 ",
Parking Management Services Inc (PMSI),Shane Daugherty,"$27,734.13 ",
Parking Point of Florida,Luis Salazar,$0.00 ,
PARKING SOLUTIONS COLOMBIA,Ken Lovegreen,,
Parking Systems of America,Shane Daugherty,"$137,203.06 ",
Parking Systems of America,Geremy Rodamer,$0.00 ,
Parking Systems of America,Christen Woods,$0.00 ,
ParkPlus LLC,Kosta Alexopoulos,"$26,140.97 ",
ParkSimple LLC,John Matiz,"$4,225.76 ",
Parksman Parking LLC,Luis Salazar,$75.10 ,
Parkwell LLC,Shane Daugherty,$444.70 ,
Parkwest Bicycle Casino LLC,Kevin Cobb,$0.00 ,
ParkX Management LC,Troy Wilkinson,"$18,647.03 ",
ParkX Management LC,Andrew Sherstad,$0.00 ,
Parque Towers Condominium Association Inc,Luis Salazar,$98.59 ,
Partners Hospitality,Andrew Sherstad,,
Patriot Parking  LLC,Troy Wilkinson,"$6,483.94 ",
Peach Row Partners ll LLC,Connor Gray,"$43,960.90 ",
Peak Parking,Shane Daugherty,$0.00 ,
Peoples Auto Parking,Troy Wilkinson,"$15,050.87 ",
PerCoy's Truck Parking Center,Andrew Sherstad,$158.97 ,
Perdido Beach Resort,John Matiz,,
Perfect Parking,Kevin Cobb,$0.00 ,
Petit Ermitage Corp,Kevin Cobb,"$13,194.70 ",
Pivot Parking,Andrew Sherstad,"$334,824.92 ",
Pivot Parking,John Matiz,$2.00 ,
Pivot Parking - Carolina Beach,Andrew Sherstad,"$102,137.04 ",
Pivot Parking - North Myrtle Beach,Andrew Sherstad,"$47,183.85 ",
Pivovar LLC,Shane Daugherty,$0.00 ,
Platinum Parking - EAST,Connor Gray,$276.50 ,
Platinum Parking - EAST,ZZLBPRO lbpro_at,,
Platinum Parking - North,Shane Daugherty,"$125,843.27 ",
Platinum Parking - SOUTH,Shane Daugherty,"$11,805.68 ",
Platinum Parking Valet,Shane Daugherty,"$45,870.11 ",
PMS Parking Inc,Troy Wilkinson,$73.00 ,
PMSA Corp,Kevin Cobb,"$4,898.78 ",
"PNK (River City), LLC",Shane Daugherty,,
PP TEST CORP LBPRO,Troy Wilkinson,,
Preferred Parking Services Corp,Luis Salazar,$265.61 ,
Premier Parking,Troy Wilkinson,,
Premier Valet Service,Shane Daugherty,$0.00 ,
Premier Valet Service (NY),Troy Wilkinson,$0.00 ,
Premium Parking Service LLC,Luis Salazar,$0.00 ,
Premium Parking Service LLC,Andrew Sherstad,$0.00 ,
Prestige Parking LLC,Luis Salazar,"$4,736.36 ",
Prestige Valet Houston,Shane Daugherty,$0.00 ,
Prime Valet,Shane Daugherty,"$1,333.90 ",
Prime Valet,Christen Woods,,
Pristine Auto Spa and Valet,Shane Daugherty,$9.65 ,
Professional Parking Management,Andrew Sherstad,$0.00 ,
Propark Mobility,Troy Wilkinson,"$100,044.14 ",
Propark Mobility,Kevin Cobb,"$6,961.40 ",
Propark Mobility,Mark Berglund,,
Propark Sovereign Services LLC,Christen Woods,"$75,730.98 ",
Proper Parking / Wash Ultra,Kevin Cobb,"$11,474.17 ",
Property Owners Management LLC,Troy Wilkinson,"$27,593.51 ",
PUNTO VALLE,Ken Lovegreen,,
Pyramid Hotel Group,Troy Wilkinson,"$2,316.65 ",
Radisson Hotel Philadelphia,Troy Wilkinson,$0.00 ,
RAF Valet,Shane Daugherty,"$3,917.10 ",
Refined Parking Solutions LLC,John Matiz,"$7,881.73 ",
Republic Parking Systems,Christen Woods,$0.00 ,
Republic Properties Inc,Connor Gray,"$63,771.79 ",
Riddles Parking,Shane Daugherty,$54.57 ,
RIF Company,Connor Gray,$0.00 ,
Risetek Global LLC,Troy Wilkinson,"$5,349.57 ",
Rocky Mount Valet LLC,Andrew Sherstad,$316.13 ,
Royal Parking,John Matiz,"$134,338.06 ",
Royal Parking LLC dba GOPARK,Shane Daugherty,"$17,584.23 ",
"Royal Parking Systems, LLC",John Matiz,$323.15 ,
Royal Valet (AZ),Kevin Cobb,$129.17 ,
Royal Valet LLC,Troy Wilkinson,"$1,877.85 ",
Royal Valet Services LLC,Shane Daugherty,$0.00 ,
Safeco Parking & Transportation,Kevin Cobb,,
SafetyPark Corporation,Kevin Cobb,"$75,923.73 ",
Safeway Parking Enterprises,Luis Salazar,"$7,916.23 ",
Salman Capital LLC,Andrew Sherstad,$0.00 ,
San Vicente Bungalows,Kevin Cobb,"$8,571.97 ",
Schecher Group Inc,Luis Salazar,$0.00 ,
Seastreak LLC,Andrew Sherstad,"$110,759.51 ",
Self Made Empire LLC,Luis Salazar,$0.00 ,
Sextant Stays,Luis Salazar,$0.00 ,
Sherfick Companies,Troy Wilkinson,$0.00 ,
Shoreline Valet,John Matiz,"$3,935.72 ",
Showprop Pico Rivera LLC,Troy Wilkinson,$0.00 ,
Shree Sai Siddhi Spruce LLC,Troy Wilkinson,$0.00 ,
Signature Parking,Kevin Cobb,$316.07 ,
Signature Parking,Mark Berglund,$2.31 ,
Signature Parking LLC,Andrew Sherstad,,
SJP Properties,Troy Wilkinson,"$3,099.55 ",
SKIDATA-Fontainebleau Las Vegas,Mark Berglund,"$5,141.00 ",
SKIDATA-San Jose Convention Center,Mark Berglund,$0.00 ,
SKIDATA-San Jose Convention Center,ZZLBPRO lbpro_at,,
Slab Cinema at Blue Star Complex,Shane Daugherty,$0.00 ,
SmartPark,Shane Daugherty,$0.00 ,
Snowmass Mountain Lodging,Shane Daugherty,"$2,261.21 ",
South Coast Plaza,Kevin Cobb,"$60,417.32 ",
South Tower at the Point Condominium Association,Luis Salazar,$0.00 ,
Southern Valet LLC,John Matiz,$0.00 ,
SP+ Charleston,Andrew Sherstad,"$69,915.55 ",
